tree,pom,group,grp_name,dbh
80227,pom_yes,gp1,ali_pat,38.5
80228,pom_yes,gp1,ali_pat,12.9
80229,pom_yes,gp1,ali_pat,19.6
80230,pom_yes,gp1,ali_pat,11.2
80231,pom_yes,gp1,ali_pat,13.1
80232,pom_yes,gp1,ali_pat,10.3
80233,pom_yes,gp1,ali_pat,11.6
80234,pom_yes,gp1,ali_pat,14.6
80235,pom_yes,gp1,ali_pat,10.4
80236,pom_yes,gp1,ali_pat,21.7
80237,pom_yes,gp1,ali_pat,15.5
80238,pom_yes,gp1,ali_pat,17.4
80239,pom_yes,gp1,ali_pat,11.6
80240,pom_yes,gp1,ali_pat,26.8
80241,pom_yes,gp1,ali_pat,12.5
80258,pom_no,gp1,ali_pat,18.7
80259,pom_no,gp1,ali_pat,23
80260,pom_no,gp1,ali_pat,17.9
80261,pom_no,gp1,ali_pat,10.3
80262,pom_no,gp1,ali_pat,17.2
80263,pom_no,gp1,ali_pat,20.5
80264,pom_no,gp1,ali_pat,22.4
80265,pom_no,gp1,ali_pat,17.6
80266,pom_no,gp1,ali_pat,19.5
80267,pom_no,gp1,ali_pat,11.4
80268,pom_no,gp1,ali_pat,13
80269,pom_no,gp1,ali_pat,11.2
80227,pom_yes,gp2,pag_wil,38.2
80228,pom_yes,gp2,pag_wil,12.9
80229,pom_yes,gp2,pag_wil,19.6
80230,pom_yes,gp2,pag_wil,11.1
80231,pom_yes,gp2,pag_wil,13
80232,pom_yes,gp2,pag_wil,10.3
80233,pom_yes,gp2,pag_wil,11.6
80234,pom_yes,gp2,pag_wil,14.3
80235,pom_yes,gp2,pag_wil,10.4
80236,pom_yes,gp2,pag_wil,21.7
80237,pom_yes,gp2,pag_wil,15.4
80238,pom_yes,gp2,pag_wil,17.4
80239,pom_yes,gp2,pag_wil,11.6
80240,pom_yes,gp2,pag_wil,26.8
80241,pom_yes,gp2,pag_wil,12.4
80258,pom_no,gp2,pag_wil,18.7
80259,pom_no,gp2,pag_wil,23
80260,pom_no,gp2,pag_wil,17.6
80261,pom_no,gp2,pag_wil,10.3
80262,pom_no,gp2,pag_wil,17.1
80263,pom_no,gp2,pag_wil,20.7
80264,pom_no,gp2,pag_wil,22.5
80265,pom_no,gp2,pag_wil,16.9
80266,pom_no,gp2,pag_wil,19.1
80267,pom_no,gp2,pag_wil,11.6
80268,pom_no,gp2,pag_wil,13.1
80269,pom_no,gp2,pag_wil,11.2
80227,pom_yes,gp3,ghi_tho,38.4
80228,pom_yes,gp3,ghi_tho,12.9
80229,pom_yes,gp3,ghi_tho,19.5
80230,pom_yes,gp3,ghi_tho,11.1
80231,pom_yes,gp3,ghi_tho,13
80232,pom_yes,gp3,ghi_tho,10.3
80233,pom_yes,gp3,ghi_tho,11.6
80234,pom_yes,gp3,ghi_tho,14.5
80235,pom_yes,gp3,ghi_tho,15.4
80236,pom_yes,gp3,ghi_tho,21.7
80237,pom_yes,gp3,ghi_tho,15.4
80238,pom_yes,gp3,ghi_tho,17.3
80239,pom_yes,gp3,ghi_tho,11.6
80240,pom_yes,gp3,ghi_tho,26.7
80241,pom_yes,gp3,ghi_tho,12.4
80258,pom_no,gp3,ghi_tho,18.7
80259,pom_no,gp3,ghi_tho,23
80260,pom_no,gp3,ghi_tho,17.5
80261,pom_no,gp3,ghi_tho,10.2
80262,pom_no,gp3,ghi_tho,17
80263,pom_no,gp3,ghi_tho,20.6
80264,pom_no,gp3,ghi_tho,22.4
80265,pom_no,gp3,ghi_tho,17.2
80266,pom_no,gp3,ghi_tho,19.3
80267,pom_no,gp3,ghi_tho,11.4
80268,pom_no,gp3,ghi_tho,13
80269,pom_no,gp3,ghi_tho,11.1
80227,pom_yes,gp4,myk_pres,38.2
80228,pom_yes,gp4,myk_pres,12.9
80229,pom_yes,gp4,myk_pres,19.6
80230,pom_yes,gp4,myk_pres,11.2
80231,pom_yes,gp4,myk_pres,12.9
80232,pom_yes,gp4,myk_pres,10.3
80233,pom_yes,gp4,myk_pres,11.6
80234,pom_yes,gp4,myk_pres,14.6
80235,pom_yes,gp4,myk_pres,10.5
80236,pom_yes,gp4,myk_pres,21.7
80237,pom_yes,gp4,myk_pres,15.6
80238,pom_yes,gp4,myk_pres,17.4
80239,pom_yes,gp4,myk_pres,11.6
80240,pom_yes,gp4,myk_pres,27.2
80241,pom_yes,gp4,myk_pres,12.4
80258,pom_no,gp4,myk_pres,15.9
80259,pom_no,gp4,myk_pres,24.1
80260,pom_no,gp4,myk_pres,17.6
80261,pom_no,gp4,myk_pres,10.5
80262,pom_no,gp4,myk_pres,17.3
80263,pom_no,gp4,myk_pres,20.7
80264,pom_no,gp4,myk_pres,22.5
80265,pom_no,gp4,myk_pres,17.7
80266,pom_no,gp4,myk_pres,19.5
80267,pom_no,gp4,myk_pres,11.5
80268,pom_no,gp4,myk_pres,13.3
80269,pom_no,gp4,myk_pres,11.1
80227,pom_yes,gp5,eri_mer,38.8
80228,pom_yes,gp5,eri_mer,12.9
80229,pom_yes,gp5,eri_mer,19.8
80230,pom_yes,gp5,eri_mer,11.3
80231,pom_yes,gp5,eri_mer,13.1
80232,pom_yes,gp5,eri_mer,10.4
80233,pom_yes,gp5,eri_mer,11.9
80234,pom_yes,gp5,eri_mer,14.6
80235,pom_yes,gp5,eri_mer,10.5
80236,pom_yes,gp5,eri_mer,21.8
80237,pom_yes,gp5,eri_mer,15.6
80238,pom_yes,gp5,eri_mer,17.8
80239,pom_yes,gp5,eri_mer,11.9
80240,pom_yes,gp5,eri_mer,27
80241,pom_yes,gp5,eri_mer,12.6
80258,pom_no,gp5,eri_mer,19.4
80259,pom_no,gp5,eri_mer,23.7
80260,pom_no,gp5,eri_mer,17.9
80261,pom_no,gp5,eri_mer,10.6
80262,pom_no,gp5,eri_mer,17.7
80263,pom_no,gp5,eri_mer,21.3
80264,pom_no,gp5,eri_mer,23.4
80265,pom_no,gp5,eri_mer,17.9
80266,pom_no,gp5,eri_mer,20.7
80267,pom_no,gp5,eri_mer,12.3
80268,pom_no,gp5,eri_mer,13.9
80269,pom_no,gp5,eri_mer,11.5
